OVERLAPS 0
(47, 2) (0, 4370.0, 5270.0, 4638.0)
(47, 3) (-1, 7760.0, 9160.0, 7778.0)
(47, 4) (0, 7490.0, 8730.0, 7778.0)
(48, 0) (0, 2310.0, 3310.0, 2869.5)
(48, 1) (1, 4890.0, 6490.0, 6363.2)
(48, 2) (1, 2660.0, 4760.0, 4239.8)
(48, 3) (1, 7810.0, 10660.0, 10533.2)
(48, 4) (1, 9250.0, 10660.0, 10533.2)
(49, 0) (0, 3716.0, 3924.0, 3820.0)
(49, 1) (1, 2660.0, 4860.0, 3102.2)
(49, 2) (-1, 11280.0, 13580.0, 11309.2)
(50, 0) (0, 2370.0, 2810.0, 2433.0)
(50, 1) (1, 2660.0, 3660.0, 3523.5)
(50, 2) (1, 4890.0, 6490.0, 5712.5)
(51, 0) (0, 3202.0, 3618.0, 3220.0)
(51, 1) (1, 200.0, 2100.0, 2086.5)
(51, 2) (0, 4890.0, 6490.0, 5242.8)
(51, 3) (-1, 4900.0, 7200.0, 5242.8)
(51, 4) (0, 200.0, 2290.0, 1130.2)
(52, 0) (0, 2660.0, 4760.0, 2738.0)
(53, 0) (0, 1548.0, 2572.0, 2036.2)
(53, 1) (-1, 9460.0, 10560.0, 9659.0)
(53, 2) (1, 3400.0, 4100.0, 4050.5)
(54, 0) (0, 9330.0, 10630.0, 9980.0)
(54, 1) (-1, 10460.0, 10710.0, 10523.0)
(54, 2) (-1, 12580.0, 13580.0, 12716.5)
(55, 0) (0, 9340.0, 10630.0, 10107.0)
(56, 0) (0, 8780.0, 9140.0, 8960.0)
(56, 1) (-1, 11300.0, 12800.0, 11493.0)
(56, 2) (-1, 7990.0, 9090.0, 8183.0)
(57, 0) (1, 4700.0, 4940.0, 4904.0)
(57, 1) (-1, 11580.0, 13580.0, 11732.0)
(57, 2) (-1, 11380.0, 13580.0, 11732.0)
(57, 3) (-1, 4920.0, 6820.0, 4998.0)
(58, 0) (0, 11380.0, 12290.0, 11516.5)
(59, 0) (0, 7034.0, 7866.0, 7629.0)
(59, 1) (1, 200.0, 2700.0, 621.2)
(59, 2) (-1, 10680.0, 13580.0, 11156.2)
(59, 3) (0, 2660.0, 4160.0, 3204.8)
(59, 4) (1, 200.0, 2700.0, 621.2)
(60, 0) (0, 200.0, 2700.0, 2610.2)
(60, 1) (0, 7466.0, 7914.0, 7751.0)
(60, 2) (0, 2660.0, 3860.0, 3596.8)
(61, 0) (0, 11580.0, 13580.0, 12540.0)
(61, 1) (0, 10680.0, 13580.0, 12540.0)
(61, 2) (-1, 10970.0, 14523.2, 11009.0)
(61, 3) (0, 7990.0, 9090.0, 8268.0)
(61, 4) (0, 4870.0, 7470.0, 7265.0)
(61, 5) (1, -13.0, 9410.0, 8812.0)
(61, 6) (-1, 2720.0, 13698.2, 2759.0)
